time;model_id;model_name;port_name;data
0;1;Input;;4
0;2;Switch;;{queue_size:0}
4;1;Input;out;{Type:REQUEST, CreationTime:4, Source:host1, Dest:host1}
4;1;Input;;1
4;2;Switch;;{queue_size:1}
4;2;Switch;host1;{Type:REQUEST, CreationTime:4, Source:host1, Dest:host1}
4;2;Switch;;{queue_size:0}
5;1;Input;out;{Type:REQUEST, CreationTime:5, Source:host1, Dest:host2}
5;1;Input;;1
5;2;Switch;;{queue_size:1}
5;2;Switch;host2;{Type:REQUEST, CreationTime:5, Source:host1, Dest:host2}
5;2;Switch;;{queue_size:0}
6;1;Input;out;{Type:REQUEST, CreationTime:6, Source:host1, Dest:host3}
6;1;Input;;1
6;2;Switch;;{queue_size:1}
6;2;Switch;host3;{Type:REQUEST, CreationTime:6, Source:host1, Dest:host3}
6;2;Switch;;{queue_size:0}
7;1;Input;out;{Type:REQUEST, CreationTime:7, Source:host2, Dest:host1}
7;1;Input;;1
7;2;Switch;;{queue_size:1}
7;2;Switch;host1;{Type:REQUEST, CreationTime:7, Source:host2, Dest:host1}
7;2;Switch;;{queue_size:0}
8;1;Input;out;{Type:REQUEST, CreationTime:8, Source:host2, Dest:host2}
8;1;Input;;0
8;2;Switch;;{queue_size:1}
8;1;Input;out;{Type:REQUEST, CreationTime:9, Source:host2, Dest:host3}
8;1;Input;;inf
8;2;Switch;host2;{Type:REQUEST, CreationTime:8, Source:host2, Dest:host2}
8;2;Switch;;{queue_size:1}
8;2;Switch;host3;{Type:REQUEST, CreationTime:9, Source:host2, Dest:host3}
8;2;Switch;;{queue_size:0}
8;1;Input;;inf
8;2;Switch;;{queue_size:0}
